Yil,Chorak,Davr,Viloyat,Brend,Model,Kuzov_Turi,Dvigatel_Turi,Ishlab_Chiqarish,Narx_Segmenti,Ortacha_Narx_USD,Sotilgan_Soni,Umumiy_Tushum_USD
2022,Q3,2022-Q3,Sirdaryo,BYD,Song Plus DM-i,C-SUV,Gibrid (PHEV),Gibrid/Yig‘uv (Jizzax),Yuqori-o‘rta ($25k-$40k),30269,2,60538
2022,Q3,2022-Q3,Sirdaryo,BYD,Chazor (Destroyer 05),C-Sedan,Gibrid (PHEV),Gibrid/Yig‘uv (Jizzax),O‘rta ($15k-$25k),22762,1,22762
2022,Q3,2022-Q3,Sirdaryo,BYD,Song Plus EV,C-SUV,Elektromobil (EV),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),34184,1,34184
2022,Q3,2022-Q3,Sirdaryo,BYD,Han,E-Sedan,Elektromobil (EV),Import (Xitoy),Premium (>$40k),48482,1,48482
2022,Q3,2022-Q3,Sirdaryo,Chery,Tiggo 7 Pro,C-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),25306,1,25306
2022,Q3,2022-Q3,Sirdaryo,Chery,Arrizo 6 Pro,C-Sedan,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),20028,1,20028
2022,Q3,2022-Q3,Sirdaryo,Chery,Tiggo 8 Pro,Mid-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),31885,3,95655
2022,Q3,2022-Q3,Sirdaryo,Haval,Jolion,B-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),22529,1,22529
2022,Q3,2022-Q3,Sirdaryo,Haval,M6,C-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),18678,1,18678
2022,Q3,2022-Q3,Sirdaryo,Haval,H6,C-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),28675,2,57350
2022,Q3,2022-Q3,Sirdaryo,Kia,Sonet,B-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),17688,2,35376
2022,Q3,2022-Q3,Sirdaryo,Kia,K5,D-Sedan,Benzin,Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),32487,1,32487
2022,Q3,2022-Q3,Sirdaryo,Kia,Sportage,C-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),34194,1,34194
2022,Q3,2022-Q3,Sirdaryo,Geely,Monjaro,Mid-SUV,Benzin (Turbo),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),34982,1,34982
2022,Q3,2022-Q3,Sirdaryo,Jetour,Dashing,C-SUV,Benzin (Turbo),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),25916,1,25916
2022,Q3,2022-Q3,Qoraqalpog‘iston Res.,Chevrolet,Cobalt,B-Sedan,Benzin,Mahalliy (Asaka),Byudjet (<$15k),11351,21,238371
2022,Q3,2022-Q3,Qoraqalpog‘iston Res.,Chevrolet,Damas,Mini-Van,Benzin,Mahalliy (Pitnak),Byudjet (<$15k),8411,20,168220
2022,Q3,2022-Q3,Qoraqalpog‘iston Res.,Chevrolet,Labo,Mini-Truck,Benzin,Mahalliy (Pitnak),Byudjet (<$15k),8032,10,80320
2022,Q3,2022-Q3,Qoraqalpog‘iston Res.,Chevrolet,Lacetti/Gentra,C-Sedan,Benzin,Mahalliy (Asaka),Byudjet (<$15k),13020,22,286440
2022,Q3,2022-Q3,Qoraqalpog‘iston Res.,Chevrolet,Tracker-2,B-SUV,Benzin (Turbo),Mahalliy (Asaka),O‘rta ($15k-$25k),19670,5,98350
2022,Q3,2022-Q3,Qoraqalpog‘iston Res.,Chevrolet,Onix,B-Sedan,Benzin (Turbo),Mahalliy (Asaka),O‘rta ($15k-$25k),16528,5,82640
2022,Q3,2022-Q3,Qoraqalpog‘iston Res.,Chevrolet,Malibu-2,D-Sedan,Benzin (Turbo),Mahalliy (Asaka),Yuqori-o‘rta ($25k-$40k),33928,1,33928
2022,Q3,2022-Q3,Qoraqalpog‘iston Res.,BYD,Song Plus DM-i,C-SUV,Gibrid (PHEV),Gibrid/Yig‘uv (Jizzax),Yuqori-o‘rta ($25k-$40k),29979,3,89937
2022,Q3,2022-Q3,Qoraqalpog‘iston Res.,BYD,Chazor (Destroyer 05),C-Sedan,Gibrid (PHEV),Gibrid/Yig‘uv (Jizzax),O‘rta ($15k-$25k),22709,1,22709
2022,Q3,2022-Q3,Qoraqalpog‘iston Res.,BYD,Song Plus EV,C-SUV,Elektromobil (EV),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),33941,1,33941
2022,Q3,2022-Q3,Qoraqalpog‘iston Res.,BYD,Han,E-Sedan,Elektromobil (EV),Import (Xitoy),Premium (>$40k),48775,2,97550
2022,Q3,2022-Q3,Qoraqalpog‘iston Res.,Chery,Tiggo 7 Pro,C-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),25513,1,25513
2022,Q3,2022-Q3,Qoraqalpog‘iston Res.,Chery,Arrizo 6 Pro,C-Sedan,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),20142,2,40284
2022,Q3,2022-Q3,Qoraqalpog‘iston Res.,Chery,Tiggo 8 Pro,Mid-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),32143,1,32143
2022,Q3,2022-Q3,Qoraqalpog‘iston Res.,Haval,Jolion,B-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),22307,1,22307
2022,Q3,2022-Q3,Qoraqalpog‘iston Res.,Haval,M6,C-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),18932,1,18932
2022,Q3,2022-Q3,Qoraqalpog‘iston Res.,Haval,H6,C-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),28451,1,28451
2022,Q3,2022-Q3,Qoraqalpog‘iston Res.,Kia,Sonet,B-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),17316,2,34632
2022,Q3,2022-Q3,Qoraqalpog‘iston Res.,Kia,K5,D-Sedan,Benzin,Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),32438,1,32438
2022,Q3,2022-Q3,Qoraqalpog‘iston Res.,Kia,Sportage,C-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),34198,1,34198
2022,Q3,2022-Q3,Qoraqalpog‘iston Res.,Geely,Monjaro,Mid-SUV,Benzin (Turbo),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),35060,1,35060
2022,Q3,2022-Q3,Qoraqalpog‘iston Res.,Jetour,Dashing,C-SUV,Benzin (Turbo),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),26149,1,26149
2022,Q4,2022-Q4,Toshkent shahri,Chevrolet,Cobalt,B-Sedan,Benzin,Mahalliy (Asaka),Byudjet (<$15k),11667,424,4946808
2022,Q4,2022-Q4,Toshkent shahri,Chevrolet,Damas,Mini-Van,Benzin,Mahalliy (Pitnak),Byudjet (<$15k),8519,74,630406
2022,Q4,2022-Q4,Toshkent shahri,Chevrolet,Labo,Mini-Truck,Benzin,Mahalliy (Pitnak),Byudjet (<$15k),8159,40,326360
2022,Q4,2022-Q4,Toshkent shahri,Chevrolet,Lacetti/Gentra,C-Sedan,Benzin,Mahalliy (Asaka),Byudjet (<$15k),13128,371,4870488
2022,Q4,2022-Q4,Toshkent shahri,Chevrolet,Tracker-2,B-SUV,Benzin (Turbo),Mahalliy (Asaka),O‘rta ($15k-$25k),20210,113,2283730
2022,Q4,2022-Q4,Toshkent shahri,Chevrolet,Onix,B-Sedan,Benzin (Turbo),Mahalliy (Asaka),O‘rta ($15k-$25k),16356,134,2191704
2022,Q4,2022-Q4,Toshkent shahri,Chevrolet,Malibu-2,D-Sedan,Benzin (Turbo),Mahalliy (Asaka),Yuqori-o‘rta ($25k-$40k),34016,38,1292608
2022,Q4,2022-Q4,Toshkent shahri,BYD,Song Plus DM-i,C-SUV,Gibrid (PHEV),Gibrid/Yig‘uv (Jizzax),Yuqori-o‘rta ($25k-$40k),30227,91,2750657
2022,Q4,2022-Q4,Toshkent shahri,BYD,Chazor (Destroyer 05),C-Sedan,Gibrid (PHEV),Gibrid/Yig‘uv (Jizzax),O‘rta ($15k-$25k),23477,72,1690344
2022,Q4,2022-Q4,Toshkent shahri,BYD,Song Plus EV,C-SUV,Elektromobil (EV),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),33848,13,440024
2022,Q4,2022-Q4,Toshkent shahri,BYD,Han,E-Sedan,Elektromobil (EV),Import (Xitoy),Premium (>$40k),48769,5,243845
2022,Q4,2022-Q4,Toshkent shahri,Chery,Tiggo 7 Pro,C-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),25673,15,385095
2022,Q4,2022-Q4,Toshkent shahri,Chery,Arrizo 6 Pro,C-Sedan,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),20199,14,282786
2022,Q4,2022-Q4,Toshkent shahri,Chery,Tiggo 8 Pro,Mid-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),32087,6,192522
2022,Q4,2022-Q4,Toshkent shahri,Haval,Jolion,B-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),22309,13,290017
2022,Q4,2022-Q4,Toshkent shahri,Haval,M6,C-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),18870,16,301920
2022,Q4,2022-Q4,Toshkent shahri,Haval,H6,C-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),28452,8,227616
2022,Q4,2022-Q4,Toshkent shahri,Kia,Sonet,B-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),17614,28,493192
2022,Q4,2022-Q4,Toshkent shahri,Kia,K5,D-Sedan,Benzin,Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),32413,11,356543
2022,Q4,2022-Q4,Toshkent shahri,Kia,Sportage,C-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),34077,11,374847
2022,Q4,2022-Q4,Toshkent shahri,Geely,Monjaro,Mid-SUV,Benzin (Turbo),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),34971,6,209826
2022,Q4,2022-Q4,Toshkent shahri,Jetour,Dashing,C-SUV,Benzin (Turbo),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),26087,7,182609
2022,Q4,2022-Q4,Toshkent viloyati,Chevrolet,Cobalt,B-Sedan,Benzin,Mahalliy (Asaka),Byudjet (<$15k),11421,173,1975833
2022,Q4,2022-Q4,Toshkent viloyati,Chevrolet,Damas,Mini-Van,Benzin,Mahalliy (Pitnak),Byudjet (<$15k),8331,148,1232988
2022,Q4,2022-Q4,Toshkent viloyati,Chevrolet,Labo,Mini-Truck,Benzin,Mahalliy (Pitnak),Byudjet (<$15k),8067,83,669561
2022,Q4,2022-Q4,Toshkent viloyati,Chevrolet,Lacetti/Gentra,C-Sedan,Benzin,Mahalliy (Asaka),Byudjet (<$15k),13032,138,1798416
2022,Q4,2022-Q4,Toshkent viloyati,Chevrolet,Tracker-2,B-SUV,Benzin (Turbo),Mahalliy (Asaka),O‘rta ($15k-$25k),19951,57,1137207
2022,Q4,2022-Q4,Toshkent viloyati,Chevrolet,Onix,B-Sedan,Benzin (Turbo),Mahalliy (Asaka),O‘rta ($15k-$25k),16334,58,947372
2022,Q4,2022-Q4,Toshkent viloyati,Chevrolet,Malibu-2,D-Sedan,Benzin (Turbo),Mahalliy (Asaka),Yuqori-o‘rta ($25k-$40k),34023,6,204138
2022,Q4,2022-Q4,Toshkent viloyati,BYD,Song Plus DM-i,C-SUV,Gibrid (PHEV),Gibrid/Yig‘uv (Jizzax),Yuqori-o‘rta ($25k-$40k),30052,15,450780
2022,Q4,2022-Q4,Toshkent viloyati,BYD,Chazor (Destroyer 05),C-Sedan,Gibrid (PHEV),Gibrid/Yig‘uv (Jizzax),O‘rta ($15k-$25k),23044,12,276528
2022,Q4,2022-Q4,Toshkent viloyati,BYD,Song Plus EV,C-SUV,Elektromobil (EV),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),34233,1,34233
2022,Q4,2022-Q4,Toshkent viloyati,BYD,Han,E-Sedan,Elektromobil (EV),Import (Xitoy),Premium (>$40k),48769,2,97538
2022,Q4,2022-Q4,Toshkent viloyati,Chery,Tiggo 7 Pro,C-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),25328,6,151968
2022,Q4,2022-Q4,Toshkent viloyati,Chery,Arrizo 6 Pro,C-Sedan,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),19849,4,79396
2022,Q4,2022-Q4,Toshkent viloyati,Chery,Tiggo 8 Pro,Mid-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),31894,2,63788
2022,Q4,2022-Q4,Toshkent viloyati,Haval,Jolion,B-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),22343,4,89372
2022,Q4,2022-Q4,Toshkent viloyati,Haval,M6,C-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),18877,6,113262
2022,Q4,2022-Q4,Toshkent viloyati,Haval,H6,C-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),28483,5,142415
2022,Q4,2022-Q4,Toshkent viloyati,Kia,Sonet,B-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),17302,12,207624
2022,Q4,2022-Q4,Toshkent viloyati,Kia,K5,D-Sedan,Benzin,Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),32329,5,161645
2022,Q4,2022-Q4,Toshkent viloyati,Kia,Sportage,C-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),34094,2,68188
2022,Q4,2022-Q4,Toshkent viloyati,Geely,Monjaro,Mid-SUV,Benzin (Turbo),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),35028,3,105084
2022,Q4,2022-Q4,Toshkent viloyati,Jetour,Dashing,C-SUV,Benzin (Turbo),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),25910,3,77730
2022,Q4,2022-Q4,Samarqand,Chevrolet,Cobalt,B-Sedan,Benzin,Mahalliy (Asaka),Byudjet (<$15k),11371,214,2433394
2022,Q4,2022-Q4,Samarqand,Chevrolet,Damas,Mini-Van,Benzin,Mahalliy (Pitnak),Byudjet (<$15k),8428,121,1019788
2022,Q4,2022-Q4,Samarqand,Chevrolet,Labo,Mini-Truck,Benzin,Mahalliy (Pitnak),Byudjet (<$15k),8187,75,614025
2022,Q4,2022-Q4,Samarqand,Chevrolet,Lacetti/Gentra,C-Sedan,Benzin,Mahalliy (Asaka),Byudjet (<$15k),12903,173,2232219
2022,Q4,2022-Q4,Samarqand,Chevrolet,Tracker-2,B-SUV,Benzin (Turbo),Mahalliy (Asaka),O‘rta ($15k-$25k),20140,45,906300
2022,Q4,2022-Q4,Samarqand,Chevrolet,Onix,B-Sedan,Benzin (Turbo),Mahalliy (Asaka),O‘rta ($15k-$25k),16447,49,805903
2022,Q4,2022-Q4,Samarqand,Chevrolet,Malibu-2,D-Sedan,Benzin (Turbo),Mahalliy (Asaka),Yuqori-o‘rta ($25k-$40k),34030,8,272240
2022,Q4,2022-Q4,Samarqand,BYD,Song Plus DM-i,C-SUV,Gibrid (PHEV),Gibrid/Yig‘uv (Jizzax),Yuqori-o‘rta ($25k-$40k),30580,18,550440
2022,Q4,2022-Q4,Samarqand,BYD,Chazor (Destroyer 05),C-Sedan,Gibrid (PHEV),Gibrid/Yig‘uv (Jizzax),O‘rta ($15k-$25k),22712,12,272544
2022,Q4,2022-Q4,Samarqand,BYD,Song Plus EV,C-SUV,Elektromobil (EV),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),34092,1,34092
2022,Q4,2022-Q4,Samarqand,BYD,Han,E-Sedan,Elektromobil (EV),Import (Xitoy),Premium (>$40k),48601,1,48601
2022,Q4,2022-Q4,Samarqand,Chery,Tiggo 7 Pro,C-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),25613,6,153678
2022,Q4,2022-Q4,Samarqand,Chery,Arrizo 6 Pro,C-Sedan,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),20042,3,60126
2022,Q4,2022-Q4,Samarqand,Chery,Tiggo 8 Pro,Mid-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),32022,1,32022
2022,Q4,2022-Q4,Samarqand,Haval,Jolion,B-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),22400,5,112000
2022,Q4,2022-Q4,Samarqand,Haval,M6,C-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),18785,5,93925
2022,Q4,2022-Q4,Samarqand,Haval,H6,C-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),28319,1,28319
2022,Q4,2022-Q4,Samarqand,Kia,Sonet,B-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),17693,8,141544
2022,Q4,2022-Q4,Samarqand,Kia,K5,D-Sedan,Benzin,Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),32592,5,162960
2022,Q4,2022-Q4,Samarqand,Kia,Sportage,C-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),34029,4,136116
2022,Q4,2022-Q4,Samarqand,Geely,Monjaro,Mid-SUV,Benzin (Turbo),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),35001,3,105003
2022,Q4,2022-Q4,Samarqand,Jetour,Dashing,C-SUV,Benzin (Turbo),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),25837,1,25837
2022,Q4,2022-Q4,Farg‘ona,Chevrolet,Cobalt,B-Sedan,Benzin,Mahalliy (Asaka),Byudjet (<$15k),11319,141,1595979
2022,Q4,2022-Q4,Farg‘ona,Chevrolet,Damas,Mini-Van,Benzin,Mahalliy (Pitnak),Byudjet (<$15k),8572,258,2211576
2022,Q4,2022-Q4,Farg‘ona,Chevrolet,Labo,Mini-Truck,Benzin,Mahalliy (Pitnak),Byudjet (<$15k),7813,136,1062568
2022,Q4,2022-Q4,Farg‘ona,Chevrolet,Lacetti/Gentra,C-Sedan,Benzin,Mahalliy (Asaka),Byudjet (<$15k),12802,140,1792280
2022,Q4,2022-Q4,Farg‘ona,Chevrolet,Tracker-2,B-SUV,Benzin (Turbo),Mahalliy (Asaka),O‘rta ($15k-$25k),19704,40,788160
2022,Q4,2022-Q4,Farg‘ona,Chevrolet,Onix,B-Sedan,Benzin (Turbo),Mahalliy (Asaka),O‘rta ($15k-$25k),16474,42,691908
2022,Q4,2022-Q4,Farg‘ona,Chevrolet,Malibu-2,D-Sedan,Benzin (Turbo),Mahalliy (Asaka),Yuqori-o‘rta ($25k-$40k),33961,8,271688
2022,Q4,2022-Q4,Farg‘ona,BYD,Song Plus DM-i,C-SUV,Gibrid (PHEV),Gibrid/Yig‘uv (Jizzax),Yuqori-o‘rta ($25k-$40k),30519,13,396747
2022,Q4,2022-Q4,Farg‘ona,BYD,Chazor (Destroyer 05),C-Sedan,Gibrid (PHEV),Gibrid/Yig‘uv (Jizzax),O‘rta ($15k-$25k),22759,8,182072
2022,Q4,2022-Q4,Farg‘ona,BYD,Song Plus EV,C-SUV,Elektromobil (EV),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),34018,1,34018
2022,Q4,2022-Q4,Farg‘ona,BYD,Han,E-Sedan,Elektromobil (EV),Import (Xitoy),Premium (>$40k),48116,1,48116
2022,Q4,2022-Q4,Farg‘ona,Chery,Tiggo 7 Pro,C-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),25655,4,102620
2022,Q4,2022-Q4,Farg‘ona,Chery,Arrizo 6 Pro,C-Sedan,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),20027,1,20027
2022,Q4,2022-Q4,Farg‘ona,Chery,Tiggo 8 Pro,Mid-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),32149,2,64298
2022,Q4,2022-Q4,Farg‘ona,Haval,Jolion,B-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),22445,3,67335
2022,Q4,2022-Q4,Farg‘ona,Haval,M6,C-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),18918,3,56754
2022,Q4,2022-Q4,Farg‘ona,Haval,H6,C-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),28550,3,85650
2022,Q4,2022-Q4,Farg‘ona,Kia,Sonet,B-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),17602,8,140816
2022,Q4,2022-Q4,Farg‘ona,Kia,K5,D-Sedan,Benzin,Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),32559,3,97677
2022,Q4,2022-Q4,Farg‘ona,Kia,Sportage,C-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),33947,5,169735
2022,Q4,2022-Q4,Farg‘ona,Geely,Monjaro,Mid-SUV,Benzin (Turbo),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),34997,1,34997
2022,Q4,2022-Q4,Farg‘ona,Jetour,Dashing,C-SUV,Benzin (Turbo),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),25846,2,51692
2022,Q4,2022-Q4,Andijon,Chevrolet,Cobalt,B-Sedan,Benzin,Mahalliy (Asaka),Byudjet (<$15k),11436,125,1429500
2022,Q4,2022-Q4,Andijon,Chevrolet,Damas,Mini-Van,Benzin,Mahalliy (Pitnak),Byudjet (<$15k),8389,258,2164362
2022,Q4,2022-Q4,Andijon,Chevrolet,Labo,Mini-Truck,Benzin,Mahalliy (Pitnak),Byudjet (<$15k),7860,114,896040
2022,Q4,2022-Q4,Andijon,Chevrolet,Lacetti/Gentra,C-Sedan,Benzin,Mahalliy (Asaka),Byudjet (<$15k),12937,106,1371322
2022,Q4,2022-Q4,Andijon,Chevrolet,Tracker-2,B-SUV,Benzin (Turbo),Mahalliy (Asaka),O‘rta ($15k-$25k),20212,36,727632
2022,Q4,2022-Q4,Andijon,Chevrolet,Onix,B-Sedan,Benzin (Turbo),Mahalliy (Asaka),O‘rta ($15k-$25k),16400,34,557600
2022,Q4,2022-Q4,Andijon,Chevrolet,Malibu-2,D-Sedan,Benzin (Turbo),Mahalliy (Asaka),Yuqori-o‘rta ($25k-$40k),33868,5,169340
2022,Q4,2022-Q4,Andijon,BYD,Song Plus DM-i,C-SUV,Gibrid (PHEV),Gibrid/Yig‘uv (Jizzax),Yuqori-o‘rta ($25k-$40k),30198,11,332178
2022,Q4,2022-Q4,Andijon,BYD,Chazor (Destroyer 05),C-Sedan,Gibrid (PHEV),Gibrid/Yig‘uv (Jizzax),O‘rta ($15k-$25k),22773,6,136638
2022,Q4,2022-Q4,Andijon,BYD,Song Plus EV,C-SUV,Elektromobil (EV),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),34403,1,34403
2022,Q4,2022-Q4,Andijon,BYD,Han,E-Sedan,Elektromobil (EV),Import (Xitoy),Premium (>$40k),48259,1,48259
2022,Q4,2022-Q4,Andijon,Chery,Tiggo 7 Pro,C-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),25425,4,101700
2022,Q4,2022-Q4,Andijon,Chery,Arrizo 6 Pro,C-Sedan,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),19928,3,59784
2022,Q4,2022-Q4,Andijon,Chery,Tiggo 8 Pro,Mid-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),32079,3,96237
2022,Q4,2022-Q4,Andijon,Haval,Jolion,B-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),22481,5,112405
2022,Q4,2022-Q4,Andijon,Haval,M6,C-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),18773,5,93865
2022,Q4,2022-Q4,Andijon,Haval,H6,C-SUV,Benzin (Turbo),Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),28330,1,28330
2022,Q4,2022-Q4,Andijon,Kia,Sonet,B-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),O‘rta ($15k-$25k),17383,8,139064
2022,Q4,2022-Q4,Andijon,Kia,K5,D-Sedan,Benzin,Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),32663,4,130652
2022,Q4,2022-Q4,Andijon,Kia,Sportage,C-SUV,Benzin,Mahalliy yig‘uv (ADM Jizzax),Yuqori-o‘rta ($25k-$40k),33905,3,101715
2022,Q4,2022-Q4,Andijon,Geely,Monjaro,Mid-SUV,Benzin (Turbo),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),34962,1,34962
2022,Q4,2022-Q4,Andijon,Jetour,Dashing,C-SUV,Benzin (Turbo),Import (Xitoy),Yuqori-o‘rta ($25k-$40k),26019,1,26019
2022,Q4,2022-Q4,Namangan,Chevrolet,Cobalt,B-Sedan,Benzin,Mahalliy (Asaka),Byudjet (<$15k),11516,103,1186148
2022,Q4,2022-Q4,Namangan,Chevrolet,Damas,Mini-Van,Benzin,Mahalliy (Pitnak),Byudjet (<$15k),8504,175,1488200
2022,Q4,2022-Q4,Namangan,Chevrolet,Labo,Mini-Truck,Benzin,Mahalliy (Pitnak),Byudjet (<$15k),8027,104,834808
2022,Q4,2022-Q4,Namangan,Chevrolet,Lacetti/Gentra,C-Sedan,Benzin,Mahalliy (Asaka),Byudjet (<$15k),12983,87,1129521
2022,Q4,2022-Q4,Namangan,Chevrolet,Tracker-2,B-SUV,Benzin (Turbo),Mahalliy (Asaka),O‘rta ($15k-$25k),20090,31,622790
2022,Q4,2022-Q4,Namangan,Chevrolet,Onix,B-Sedan,Benzin (Turbo),Mahalliy (Asaka),O‘rta ($15k-$25k),16507,33,544731
2022,Q4,2022-Q4,Namangan,Chevrolet,Malibu-2,D-Sedan,Benzin (Turbo),Mahalliy (Asaka),Yuqori-o‘rta ($25k-$40k),33806,2,67612
